"","Año","CPUEobs","CPUEpred","Capturas","Biomasa","F","Produccion","B_Bmsy","F_Fmsy"
"1",1,2.49,1.79,0,5056,0,0,2.72,0
"2",2,3.05,1.79,71.40968789,5056,0.01,0,2.72,0.14
"3",3,1.46,1.77,84.41310793,4985,0.02,7,2.68,0.16
"4",4,5.34,1.74,317.2602823,4907,0.06,15,2.64,0.63
"5",5,1.58,1.63,611.5569409,4605,0.13,44,2.47,1.29
"6",6,1.67,1.43,1030.774905,4038,0.26,94,2.17,2.48
"7",7,0.49,1.1,314.6735911,3101,0.1,156,1.67,0.99
"8",8,0.45,1.04,494.6777392,2943,0.17,164,1.58,1.63
"9",9,0.35,0.93,365.7311281,2612,0.14,178,1.4,1.36
"10",10,1,0.86,422.8435473,2424,0.17,184,1.3,1.69
"11",11,0.73,0.77,352.7114608,2185,0.16,189,1.17,1.57
"12",12,0.83,0.72,987.1498098,2021,0.49,191,1.09,4.74
"13",13,0.46,0.43,84.33056494,1225,0.07,179,0.66,0.67
"14",14,1.66,0.47,87.26049659,1320,0.07,183,0.71,0.64
"15",15,0.43,0.5,110.0263646,1415,0.08,186,0.76,0.75
"16",16,0.75,0.53,149.8673755,1491,0.1,188,0.8,0.98
"17",17,0.31,0.54,95.46962055,1528,0.06,188,0.82,0.61
"18",18,0.38,0.57,100.6319653,1621,0.06,190,0.87,0.6
"19",19,0.33,0.61,132.3819475,1711,0.08,191,0.92,0.75
"20",20,1.06,0.63,164.015758,1769,0.09,191,0.95,0.9
